cluster	ref	rank	genes	scores	logfoldchanges	pvals	pvals_adj
18	rest	35	ENSG00000185641	3.3009784	6.001709	0.000963482939737139	0.00544076317122456
18	rest	36	ENSG00000213261	3.2332976	4.475578	0.001223700167222	0.00667550244340623
18	rest	38	ENSG00000196154	3.0502517	1.3848826	0.0022864963767791	0.0111953764375278
18	rest	43	ENSG00000234287	2.8852797	8.243807	0.00391066034998026	0.0174554418127251
18	rest	44	ENSG00000236439	2.8706667	3.2884142	0.0040960701935142	0.0181548281931488
18	rest	45	ENSG00000235655	2.8664367	6.9252605	0.00415121093390565	0.0183742891912991
18	rest	46	ENSG00000214485	2.8222134	1.927473	0.00476934161481776	0.020708009958421
18	rest	48	ENSG00000270800	2.7022338	2.3479967	0.00688753023355884	0.0281110508074538
18	rest	49	ENSG00000215472	2.6962733	1.5678793	0.0070120105015093	0.0285523747347264
18	rest	52	ENSG00000197747	2.459775	1.0045874	0.0139024150151468	0.0497742498302904
18	rest	54	ENSG00000254732	2.4265113	2.8292887	0.0152447715925108	0.0535919087469051
18	rest	59	ENSG00000274646	2.227699	3.594531	0.0259005956699986	0.0824167216878244
18	rest	65	ENSG00000104435	2.156365	2.9425018	0.031055181642701	0.0956952798063729
18	rest	68	ENSG00000229605	2.109642	3.3122303	0.0348891970907832	0.104903148226776
18	rest	70	ENSG00000230979	2.0265791	4.8811903	0.0427054606926132	0.123825614423166
18	rest	73	ENSG00000109846	1.931403	2.0044453	0.0534332236955421	0.148177755210041
18	rest	75	ENSG00000243403	1.8783351	3.9316988	0.060335328512936	0.163229430099542
18	rest	76	ENSG00000179101	1.8262286	7.00052	0.0678158315230993	0.178657060862481
18	rest	78	ENSG00000135480	1.8141153	2.4731383	0.0696599774616562	0.182509327231068
18	rest	79	ENSG00000220749	1.7943109	1.5521748	0.0727635494814803	0.188747915288537
18	rest	82	ENSG00000238103	1.7654697	4.648735	0.0774848580997653	0.197877726373635
18	rest	83	ENSG00000273088	1.752395	2.0567634	0.0797059112864173	0.202704390870519
18	rest	84	ENSG00000277957	1.7264378	1.785616	0.0842686692652026	0.211562405413407
